FlightDate,Origin,DepDelay,ArrDelay,CRSElapsedTime,ActualElapsedTime
1993-12-27,SLC,9,4,121,117
1993-12-28,SLC,12,12,122,122
1993-12-29,SLC,9,5,120,116
1993-12-30,SLC,11,9,122,120
1993-12-31,SLC,6,3,122,119
1994-01-01,SLC,9,5,123,119
1994-01-02,SLC,7,6,121,120
1994-01-03,SLC,13,8,121,117
1994-01-04,SLC,9,8,121,120
1994-01-05,SLC,12,10,122,120
1994-01-06,SLC,7,5,120,118
1994-01-07,SLC,3,1,120,118
1994-01-08,SLC,7,5,122,120
1994-01-09,SLC,11,13,121,123
1994-01-10,SLC,6,6,122,122
1994-01-11,SLC,5,3,122,121
1994-01-12,SLC,9,7,121,119
1994-01-13,SLC,5,3,122,120
1994-01-14,SLC,9,5,121,118
1994-01-15,SLC,5,1,122,119
1994-01-16,SLC,4,4,122,122
1994-01-17,SLC,12,9,121,117
1994-01-18,SLC,6,3,119,116
1994-01-19,SLC,6,2,121,117
1994-01-20,SLC,10,9,121,120
1994-01-21,SLC,5,4,122,121
1994-01-22,SLC,5,3,123,121
1994-01-23,SLC,4,3,122,121
1994-01-24,SLC,4,4,122,122
1994-01-25,SLC,4,4,122,122
1994-01-26,SLC,12,15,122,125
1994-01-27,SLC,13,15,119,121
1994-01-28,SLC,7,8,121,122
1994-01-29,SLC,10,8,123,121
1994-01-30,SLC,10,11,121,121
1994-01-31,SLC,5,1,121,118
1994-02-01,SLC,3,0,121,118
1994-02-02,SLC,2,-1,121,117
1994-02-03,SLC,4,1,122,119
1994-02-04,SLC,5,2,119,116
1994-02-05,SLC,4,0,123,119
1994-02-06,SLC,5,3,121,119
1994-02-07,SLC,9,8,123,121
1994-02-08,SLC,26,31,117,122
1994-02-09,SLC,9,9,120,120
1994-02-10,SLC,15,15,121,121
1994-02-11,SLC,13,17,119,122
1994-02-12,SLC,13,11,121,119
1994-02-13,SLC,7,5,122,119
1994-02-14,SLC,1,-2,121,117
1994-02-15,SLC,1,0,120,118
1994-02-16,SLC,5,2,121,119
1994-02-17,SLC,8,10,120,121
1994-02-18,SLC,7,12,122,127
1994-02-19,SLC,5,6,122,123
1994-02-20,SLC,7,8,120,122
1994-02-21,SLC,8,9,122,122
1994-02-22,SLC,70,84,124,138
1994-02-23,SLC,12,13,117,119
1994-02-24,SLC,8,7,123,121
1994-02-25,SLC,9,7,120,118
1994-02-26,SLC,14,11,122,119
1994-02-27,SLC,10,12,121,123
1994-02-28,SLC,5,5,121,121
1994-03-01,SLC,6,6,121,122
1994-03-02,SLC,2,2,121,121
1994-03-03,SLC,3,3,120,119
1994-03-04,SLC,3,1,121,120
1994-03-05,SLC,4,2,123,121
1994-03-06,SLC,3,1,123,120
1994-03-07,SLC,8,7,122,120
1994-03-08,SLC,8,5,124,121
1994-03-09,SLC,4,4,122,121
1994-03-10,SLC,7,7,122,122
1994-03-11,SLC,4,6,122,124
1994-03-12,SLC,5,4,123,122
1994-03-13,SLC,4,4,122,122
1994-03-14,SLC,3,0,122,118
1994-03-15,SLC,1,0,122,120
1994-03-16,SLC,3,2,122,121
1994-03-17,SLC,4,0,122,117
1994-03-18,SLC,7,6,122,121
1994-03-19,SLC,9,8,122,121
1994-03-20,SLC,8,5,122,119
1994-03-21,SLC,4,1,121,119
1994-03-22,SLC,22,39,123,140
1994-03-23,SLC,6,3,122,120
1994-03-24,SLC,6,6,123,122
1994-03-25,SLC,6,4,122,120
1994-03-26,SLC,9,6,124,120
1994-03-27,SLC,8,6,122,120
1994-03-28,SLC,2,0,122,119
1994-03-29,SLC,1,-1,122,119
1994-03-30,SLC,1,0,122,120
1994-03-31,SLC,0,0,123,123
1994-04-01,SLC,2,0,121,119
1994-04-02,SLC,3,0,123,120
1994-04-03,SLC,11,17,121,127
1994-04-04,SLC,4,4,124,123
1994-04-05,SLC,4,3,122,121
1994-04-06,SLC,5,3,124,122
1994-04-07,SLC,5,5,123,123
1994-04-08,SLC,5,3,123,121
1994-04-09,SLC,5,5,124,124
1994-04-10,SLC,6,7,123,124
1994-04-11,SLC,9,10,122,123
1994-04-12,SLC,5,5,122,122
1994-04-13,SLC,3,1,122,120
1994-04-14,SLC,3,0,121,118
1994-04-15,SLC,5,4,122,121
1994-04-16,SLC,2,0,122,120
1994-04-17,SLC,2,0,122,119
1994-04-18,SLC,1,-1,122,120
1994-04-19,SLC,1,0,122,121
1994-04-20,SLC,1,1,122,122
1994-04-21,SLC,1,1,120,121
1994-04-22,SLC,2,4,122,124
1994-04-23,SLC,3,1,123,121
1994-04-24,SLC,3,2,122,122
1994-04-25,SLC,6,11,122,126
1994-04-26,SLC,6,7,122,124
1994-04-27,SLC,5,6,122,123
1994-04-28,SLC,5,6,123,124
1994-04-29,SLC,10,13,123,126
1994-04-30,SLC,2,1,122,121
1994-05-01,SLC,3,2,122,120
1994-05-02,SLC,2,2,123,123
1994-05-03,SLC,1,0,121,121
1994-05-04,SLC,1,0,123,122
1994-05-05,SLC,1,0,123,121
1994-05-06,SLC,2,2,122,122
1994-05-07,SLC,2,1,124,123
1994-05-08,SLC,0,-2,122,119
1994-05-09,SLC,2,2,122,122
1994-05-10,SLC,1,0,121,120
1994-05-11,SLC,2,3,121,122
1994-05-12,SLC,3,9,122,128
1994-05-13,SLC,2,3,123,124
1994-05-14,SLC,1,1,125,124
1994-05-15,SLC,2,1,120,120
1994-05-16,SLC,3,4,123,124
1994-05-17,SLC,3,5,123,125
1994-05-18,SLC,1,4,122,126
1994-05-19,SLC,3,7,123,127
1994-05-20,SLC,2,5,121,124
1994-05-21,SLC,1,0,123,121
1994-05-22,SLC,2,2,122,122
1994-05-23,SLC,3,1,123,121
1994-05-24,SLC,1,0,123,122
1994-05-25,SLC,6,6,123,123
1994-05-26,SLC,6,7,122,123
1994-05-27,SLC,4,11,122,129
1994-05-28,SLC,0,-1,125,122
1994-05-29,SLC,2,0,124,122
1994-05-30,SLC,1,0,124,122
1994-05-31,SLC,4,6,122,124
1994-06-01,SLC,4,5,122,123
1994-06-02,SLC,2,4,123,124
1994-06-03,SLC,4,6,122,124
1994-06-04,SLC,2,2,123,123
1994-06-05,SLC,4,3,121,121
1994-06-06,SLC,2,4,123,124
1994-06-07,SLC,2,4,122,124
1994-06-08,SLC,3,3,123,123
1994-06-09,SLC,4,5,123,123
1994-06-10,SLC,5,4,122,121
1994-06-11,SLC,6,6,124,123
1994-06-12,SLC,3,2,121,120
1994-06-13,SLC,6,7,122,124
1994-06-14,SLC,3,3,120,121
1994-06-15,SLC,5,6,122,124
1994-06-16,SLC,4,7,122,126
1994-06-17,SLC,4,6,122,125
1994-06-18,SLC,4,5,123,124
1994-06-19,SLC,2,3,121,123
1994-06-20,SLC,5,8,122,124
1994-06-21,SLC,2,2,121,121
1994-06-22,SLC,2,6,123,126
